,country,date,avg_max_temp,avg_min_temp,avg_temp,alpha-3,region
2056,Hungary,2022-11-04,15.7,9.1,12.5,HUN,Europe
2057,Lithuania,2023-02-09,0.0,-3.4,-2.2,LTU,Europe
2058,Belarus,2022-12-17,-4.7,-8.9,-7.1,BLR,Europe
2059,Finland,2022-10-25,11.0,8.4,10.0,FIN,Europe
2060,Serbia,2023-06-07,22.6,14.9,19.0,SRB,Europe
2061,Bulgaria,2023-05-28,18.1,10.0,14.2,BGR,Europe
2062,Luxembourg,2023-02-02,6.1,3.9,5.1,LUX,Europe
2063,Belarus,2023-08-21,27.0,17.9,22.1,BLR,Europe
2064,Belgium,2023-01-30,6.8,2.7,5.4,BEL,Europe
2065,Romania,2023-07-01,31.7,17.9,24.8,ROU,Europe
2066,Belarus,2023-02-23,-3.4,-11.1,-7.4,BLR,Europe
2067,France,2023-04-13,12.2,6.6,9.0,FRA,Europe
2068,Spain,2023-05-27,22.3,13.0,16.6,ESP,Europe
2069,Ireland,2023-03-01,7.4,6.3,6.9,IRL,Europe
2070,Romania,2023-06-03,22.0,16.7,19.3,ROU,Europe
2071,Norway,2023-05-02,-9.7,-16.0,-12.3,NOR,Europe
2072,Spain,2022-12-28,12.4,3.9,8.0,ESP,Europe
2073,Albania,2022-10-03,24.4,13.9,18.7,ALB,Europe
2074,Netherlands,2023-06-24,26.1,15.6,20.9,NLD,Europe
2075,Finland,2023-06-01,13.2,6.5,10.2,FIN,Europe
2076,"Moldova, Republic of",2022-12-14,0.3,-4.7,-2.2,MDA,Europe
2077,Germany,2022-11-15,11.8,5.8,8.4,DEU,Europe
2078,Ireland,2023-03-18,11.2,3.9,8.9,IRL,Europe
2079,Belgium,2022-11-25,10.6,6.2,8.1,BEL,Europe
2080,Albania,2023-08-12,30.1,18.9,24.0,ALB,Europe
2081,Italy,2023-07-26,31.3,23.5,26.7,ITA,Europe
2082,Denmark,2023-06-16,21.0,14.0,17.2,DNK,Europe
2083,Poland,2023-06-10,23.7,15.4,19.6,POL,Europe
2084,Luxembourg,2023-05-14,17.9,7.2,12.4,LUX,Europe
2085,Latvia,2023-08-12,19.5,13.1,16.8,LVA,Europe
2086,Belgium,2022-09-26,13.1,9.8,11.2,BEL,Europe
2087,Finland,2023-02-05,-0.7,-9.8,-4.7,FIN,Europe
2088,Andorra,2022-10-24,12.9,3.9,7.9,AND,Europe
2089,Austria,2023-01-03,9.8,4.1,6.7,AUT,Europe
2090,Serbia,2022-12-15,8.4,1.5,4.8,SRB,Europe
2091,Estonia,2022-10-14,11.7,7.6,9.6,EST,Europe
2092,Belgium,2023-09-08,30.3,18.7,23.9,BEL,Europe
2093,Portugal,2022-12-25,16.3,13.7,15.4,PRT,Europe
2094,Luxembourg,2023-02-05,5.6,2.3,4.4,LUX,Europe
2095,Finland,2023-03-12,-2.6,-6.3,-4.8,FIN,Europe
2096,Italy,2023-04-16,16.7,7.2,11.7,ITA,Europe
2097,Bosnia and Herzegovina,2023-06-02,19.9,11.7,15.5,BIH,Europe
2098,France,2022-10-18,19.6,14.7,16.7,FRA,Europe
2099,Greece,2023-07-15,40.8,27.3,33.6,GRC,Europe
2100,Greece,2023-06-17,26.2,18.7,22.5,GRC,Europe
2101,Netherlands,2023-03-20,12.3,4.9,8.6,NLD,Europe
2102,Finland,2022-09-19,12.9,11.7,12.3,FIN,Europe
2103,Germany,2023-01-22,1.7,0.5,1.0,DEU,Europe
2104,Poland,2022-10-08,19.4,11.5,15.0,POL,Europe
2105,North Macedonia,2023-01-25,5.5,3.7,4.8,MKD,Europe
2106,Finland,2023-05-20,11.9,7.5,9.0,FIN,Europe
2107,Denmark,2023-05-11,17.4,10.8,13.5,DNK,Europe
2108,Austria,2023-06-10,23.7,13.8,18.3,AUT,Europe
2109,Latvia,2022-10-26,12.3,9.5,11.3,LVA,Europe
2110,Romania,2022-11-04,20.0,10.3,14.5,ROU,Europe
2111,"Moldova, Republic of",2023-03-16,7.8,3.5,5.4,MDA,Europe
2112,Andorra,2023-03-18,10.8,-0.8,3.8,AND,Europe
2113,Lithuania,2023-06-13,22.0,10.3,16.2,LTU,Europe
2114,Luxembourg,2023-07-16,23.1,13.4,18.6,LUX,Europe
2115,Estonia,2023-06-20,28.2,13.0,21.1,EST,Europe
2116,Romania,2023-06-12,24.0,15.3,19.5,ROU,Europe
2117,Serbia,2022-11-08,17.7,10.7,13.6,SRB,Europe
