,country,date,avg_max_temp,avg_min_temp,avg_temp,alpha-3,region
0,Lithuania,2022-12-18,-8.3,-15.0,-11.8,LTU,Europe
1,Ireland,2023-02-25,6.6,4.9,5.9,IRL,Europe
2,Slovenia,2023-06-16,23.8,11.0,17.5,SVN,Europe
3,Latvia,2023-05-03,10.2,3.5,6.7,LVA,Europe
4,Albania,2023-09-12,31.7,17.5,23.2,ALB,Europe
5,Spain,2022-11-18,11.7,8.6,10.5,ESP,Europe
6,Netherlands,2023-05-18,14.2,5.3,10.1,NLD,Europe
7,Austria,2023-01-24,3.7,0.8,2.4,AUT,Europe
8,Poland,2023-03-17,9.7,1.2,5.3,POL,Europe
9,Italy,2022-12-20,14.1,5.9,9.7,ITA,Europe
10,"Moldova, Republic of",2023-09-08,27.5,14.4,20.7,MDA,Europe
11,Croatia,2023-04-15,13.6,5.7,9.0,HRV,Europe
12,Slovakia,2023-04-30,16.6,7.9,12.1,SVK,Europe
13,Netherlands,2023-07-10,23.8,15.2,19.8,NLD,Europe
14,Lithuania,2022-12-28,1.1,-0.3,0.4,LTU,Europe
15,Ireland,2022-11-09,13.6,9.4,11.2,IRL,Europe
16,Ireland,2023-02-01,8.5,6.4,7.0,IRL,Europe
17,Croatia,2023-05-14,12.5,9.8,11.1,HRV,Europe
18,"Moldova, Republic of",2022-10-23,14.0,9.8,11.7,MDA,Europe
19,Ireland,2022-12-25,9.7,3.5,7.9,IRL,Europe
20,Slovenia,2022-12-27,8.7,4.2,6.8,SVN,Europe
21,Lithuania,2023-02-15,3.1,-3.9,-0.4,LTU,Europe
22,Norway,2023-01-27,-5.0,-10.3,-7.8,NOR,Europe
23,Netherlands,2023-07-06,21.5,11.6,16.9,NLD,Europe
24,Italy,2023-07-13,34.7,24.4,28.9,ITA,Europe
25,Finland,2023-03-25,4.7,0.5,2.7,FIN,Europe
26,France,2023-02-12,11.7,3.7,7.0,FRA,Europe
27,Belarus,2023-02-15,0.1,-6.2,-2.9,BLR,Europe
28,Luxembourg,2023-02-13,11.6,0.7,5.0,LUX,Europe
29,France,2022-11-12,17.7,8.6,12.1,FRA,Europe
30,Estonia,2023-04-01,0.5,-3.3,-1.5,EST,Europe
31,Albania,2022-10-02,22.4,15.6,18.6,ALB,Europe
32,Poland,2023-05-05,13.1,7.0,9.9,POL,Europe
33,Poland,2022-12-31,11.4,3.2,7.2,POL,Europe
34,Germany,2023-02-11,7.9,3.4,6.1,DEU,Europe
35,Ireland,2023-02-28,8.0,6.3,7.1,IRL,Europe
36,Italy,2022-11-28,12.5,7.0,9.8,ITA,Europe
37,France,2023-03-30,16.9,11.7,13.7,FRA,Europe
38,Montenegro,2022-11-28,10.1,4.1,6.9,MNE,Europe
39,Italy,2023-04-03,20.2,8.8,13.3,ITA,Europe
40,Italy,2023-06-23,31.4,21.8,25.9,ITA,Europe
41,Spain,2023-03-30,25.6,12.4,18.2,ESP,Europe
42,Slovenia,2022-12-15,3.6,-2.1,1.0,SVN,Europe
43,Croatia,2022-11-08,15.3,7.1,10.4,HRV,Europe
44,Luxembourg,2022-11-18,7.9,7.1,7.4,LUX,Europe
45,Norway,2022-10-11,10.8,3.1,6.3,NOR,Europe
46,Albania,2023-04-07,14.4,5.0,9.1,ALB,Europe
47,Belgium,2022-11-02,15.0,9.3,12.1,BEL,Europe
48,Italy,2023-03-15,16.7,7.9,11.8,ITA,Europe
49,Monaco,2023-08-25,28.6,26.5,27.5,MCO,Europe
50,"Moldova, Republic of",2023-04-10,15.0,4.8,9.7,MDA,Europe
51,Albania,2023-08-05,27.9,18.1,22.4,ALB,Europe
52,Austria,2022-12-12,-1.4,-3.6,-2.2,AUT,Europe
53,Czechia,2023-02-16,10.8,0.3,4.7,CZE,Europe
54,Slovakia,2023-07-04,25.9,17.0,21.3,SVK,Europe
55,Poland,2023-03-10,9.1,-0.7,4.7,POL,Europe
56,Lithuania,2023-01-30,0.7,-0.6,0.0,LTU,Europe
57,"Moldova, Republic of",2022-10-15,15.1,6.6,10.0,MDA,Europe
58,Serbia,2022-12-10,13.9,10.7,12.1,SRB,Europe
59,Poland,2023-02-22,4.2,-0.1,2.6,POL,Europe
60,Finland,2023-06-21,17.1,13.4,15.5,FIN,Europe
61,"Moldova, Republic of",2023-01-01,11.7,2.9,6.7,MDA,Europe
62,Serbia,2023-07-18,34.9,23.5,28.6,SRB,Europe
63,Latvia,2023-03-25,10.8,4.8,7.6,LVA,Europe
64,Slovenia,2022-09-26,17.4,10.6,13.2,SVN,Europe
65,Slovakia,2022-09-19,13.1,9.0,10.8,SVK,Europe
66,Slovakia,2023-02-02,4.8,1.6,3.1,SVK,Europe
67,Greece,2023-08-21,34.4,24.1,29.7,GRC,Europe
68,Slovakia,2023-02-17,10.9,1.1,6.3,SVK,Europe
69,Belgium,2022-12-10,3.0,-1.0,0.2,BEL,Europe
70,Romania,2023-02-23,7.7,5.4,6.4,ROU,Europe
71,Lithuania,2023-06-02,14.2,6.5,10.1,LTU,Europe
72,Poland,2023-06-21,30.1,18.4,23.0,POL,Europe
73,Belgium,2022-10-30,20.6,13.9,16.6,BEL,Europe
74,Finland,2023-02-22,-8.2,-12.8,-10.1,FIN,Europe
75,Czechia,2023-09-02,24.6,14.5,19.1,CZE,Europe
76,Lithuania,2022-09-15,16.9,8.8,12.8,LTU,Europe
77,Albania,2023-07-18,34.6,22.4,28.9,ALB,Europe
78,Luxembourg,2023-08-04,18.6,10.6,14.6,LUX,Europe
79,Belarus,2023-04-23,16.0,9.4,12.4,BLR,Europe
80,Netherlands,2022-10-18,16.5,8.6,12.8,NLD,Europe
81,Slovakia,2023-01-20,1.2,-2.2,-0.5,SVK,Europe
82,Poland,2022-11-19,-1.1,-3.6,-2.5,POL,Europe
83,Netherlands,2023-09-07,29.1,17.5,22.7,NLD,Europe
84,Belarus,2023-03-01,1.3,-3.0,-0.6,BLR,Europe
85,Montenegro,2023-07-26,29.6,22.6,26.0,MNE,Europe
86,Slovakia,2023-03-23,18.8,7.4,12.4,SVK,Europe
87,Ireland,2023-03-26,8.2,3.6,6.5,IRL,Europe
88,Slovakia,2023-04-28,17.4,4.6,10.6,SVK,Europe
89,Montenegro,2023-08-28,34.8,20.1,25.9,MNE,Europe
90,North Macedonia,2022-11-18,15.6,8.3,11.4,MKD,Europe
91,Kosovo,2023-05-18,11.7,9.9,11.0,,
92,Austria,2023-08-22,35.6,21.8,28.7,AUT,Europe
93,France,2023-02-23,9.7,5.7,8.0,FRA,Europe
94,Belgium,2023-08-24,27.4,18.3,22.5,BEL,Europe
95,North Macedonia,2023-05-24,24.3,12.3,18.7,MKD,Europe
96,"Moldova, Republic of",2022-09-14,24.5,10.0,16.8,MDA,Europe
97,Belgium,2023-08-18,29.0,16.0,22.2,BEL,Europe
98,Monaco,2023-06-02,23.8,17.8,20.5,MCO,Europe
99,Denmark,2023-07-17,21.2,14.8,18.0,DNK,Europe
100,"Moldova, Republic of",2023-04-04,6.7,3.6,5.3,MDA,Europe
101,Denmark,2022-12-11,-1.3,-3.9,-2.8,DNK,Europe
102,Montenegro,2023-08-03,32.6,21.2,26.5,MNE,Europe
103,Bosnia and Herzegovina,2023-08-26,33.4,18.4,25.2,BIH,Europe
104,Hungary,2023-02-13,6.8,-0.7,2.6,HUN,Europe
105,Estonia,2023-08-31,19.3,13.2,16.5,EST,Europe
106,Germany,2022-11-25,6.7,2.2,4.3,DEU,Europe
107,Romania,2023-02-14,8.1,-2.2,2.5,ROU,Europe
108,Poland,2023-08-25,32.3,18.0,24.5,POL,Europe
109,Serbia,2023-08-20,33.6,20.1,27.4,SRB,Europe
110,Greece,2023-02-15,12.1,3.3,7.0,GRC,Europe
111,Serbia,2022-09-22,17.1,8.7,12.8,SRB,Europe
112,Norway,2023-06-18,20.6,13.4,17.0,NOR,Europe
113,France,2023-01-22,4.0,-0.9,1.1,FRA,Europe
114,Montenegro,2022-12-19,12.4,4.8,8.6,MNE,Europe
115,Montenegro,2023-06-28,29.1,20.5,24.7,MNE,Europe
116,Bosnia and Herzegovina,2023-04-12,12.4,4.2,7.8,BIH,Europe
117,Spain,2023-04-15,22.6,10.4,16.0,ESP,Europe
118,Croatia,2022-10-12,18.0,11.0,14.2,HRV,Europe
119,Portugal,2023-01-30,14.4,3.9,8.2,PRT,Europe
120,Albania,2022-10-22,22.7,12.8,17.3,ALB,Europe
121,Finland,2023-03-16,3.0,-0.7,0.6,FIN,Europe
122,France,2023-02-11,8.6,1.9,5.3,FRA,Europe
123,Finland,2023-08-10,18.1,13.7,15.7,FIN,Europe
124,Slovenia,2023-04-20,12.1,6.4,8.9,SVN,Europe
125,Portugal,2023-07-22,27.5,17.4,21.2,PRT,Europe
126,Slovenia,2023-01-05,8.3,5.1,6.4,SVN,Europe
127,Romania,2023-08-31,32.7,20.8,26.3,ROU,Europe
128,Bulgaria,2022-11-11,13.1,5.9,9.4,BGR,Europe
129,Ireland,2022-12-10,4.4,0.3,1.5,IRL,Europe
130,Luxembourg,2022-11-23,8.1,4.0,6.1,LUX,Europe
131,Croatia,2023-02-07,2.2,-3.5,-1.0,HRV,Europe
132,Hungary,2023-02-28,7.2,0.9,3.7,HUN,Europe
133,Netherlands,2023-01-23,3.8,-0.1,1.7,NLD,Europe
134,Poland,2023-04-07,9.8,2.5,6.4,POL,Europe
135,Slovenia,2023-07-18,29.4,19.5,25.0,SVN,Europe
136,Italy,2023-07-31,35.0,22.6,28.1,ITA,Europe
137,Monaco,2022-10-31,20.9,17.1,19.3,MCO,Europe
138,Croatia,2022-10-29,20.2,11.1,14.8,HRV,Europe
139,Poland,2023-03-28,3.9,-1.2,0.9,POL,Europe
140,Germany,2022-12-22,8.2,4.5,6.1,DEU,Europe
141,Andorra,2022-12-01,2.8,-5.3,-2.3,AND,Europe
142,Albania,2023-05-18,20.4,10.9,16.2,ALB,Europe
143,Italy,2023-04-27,21.9,9.5,15.4,ITA,Europe
144,Croatia,2023-01-27,2.6,0.4,1.2,HRV,Europe
145,Belgium,2022-11-05,13.1,6.0,8.8,BEL,Europe
146,Belarus,2022-12-25,-5.4,-8.6,-7.1,BLR,Europe
147,Belgium,2022-10-09,18.2,6.4,11.5,BEL,Europe
148,Norway,2023-05-16,11.6,5.5,8.4,NOR,Europe
149,Bosnia and Herzegovina,2022-11-10,15.2,4.8,9.1,BIH,Europe
150,Greece,2022-09-15,32.9,21.1,26.1,GRC,Europe
151,Italy,2023-06-15,26.3,17.2,21.3,ITA,Europe
152,Greece,2022-09-25,27.5,16.7,21.1,GRC,Europe
153,Belarus,2023-03-06,0.3,-7.1,-3.6,BLR,Europe
154,Denmark,2023-03-01,8.1,1.5,4.1,DNK,Europe
155,Lithuania,2023-05-08,14.0,1.3,7.9,LTU,Europe
156,Norway,2023-04-24,3.2,1.2,2.4,NOR,Europe
157,Montenegro,2023-01-17,12.9,10.1,11.8,MNE,Europe
158,Norway,2023-01-09,0.5,-0.2,0.1,NOR,Europe
159,Poland,2023-06-12,21.3,10.4,16.0,POL,Europe
160,Bulgaria,2022-09-23,15.1,5.4,9.4,BGR,Europe
161,North Macedonia,2022-11-05,17.0,11.5,13.9,MKD,Europe
162,France,2023-06-17,30.6,16.9,23.4,FRA,Europe
163,France,2023-02-01,9.0,6.1,7.3,FRA,Europe
164,Albania,2023-05-29,26.3,16.2,20.0,ALB,Europe
165,Norway,2023-05-06,-0.5,-4.8,-2.2,NOR,Europe
166,Albania,2023-08-26,36.7,23.6,28.8,ALB,Europe
167,Slovakia,2022-09-15,23.9,17.4,20.1,SVK,Europe
168,Norway,2023-08-06,16.9,11.1,13.9,NOR,Europe
169,Albania,2023-06-23,32.5,21.2,26.8,ALB,Europe
170,Ireland,2022-10-29,15.6,11.4,13.4,IRL,Europe
171,Portugal,2023-01-04,16.6,8.3,11.5,PRT,Europe
172,Romania,2023-02-28,7.4,3.3,5.1,ROU,Europe
173,Netherlands,2023-07-31,21.2,16.0,18.0,NLD,Europe
174,Bulgaria,2023-05-20,20.8,8.6,14.2,BGR,Europe
175,Slovenia,2023-04-16,10.0,4.5,7.3,SVN,Europe
176,Finland,2023-09-10,16.6,15.9,16.2,FIN,Europe
177,Montenegro,2022-12-02,12.8,7.8,9.8,MNE,Europe
178,Romania,2023-04-19,12.7,8.9,10.5,ROU,Europe
179,Kosovo,2022-12-03,8.5,1.2,4.4,,
180,Andorra,2023-02-17,9.0,-3.7,1.0,AND,Europe
181,Latvia,2022-10-16,16.2,12.1,13.5,LVA,Europe
182,Lithuania,2023-03-08,1.0,-2.8,-0.4,LTU,Europe
183,Kosovo,2023-04-14,14.0,5.6,9.0,,
184,Croatia,2022-11-20,5.1,2.3,4.2,HRV,Europe
185,Norway,2022-10-14,-4.5,-6.9,-5.6,NOR,Europe
186,Norway,2023-04-09,4.7,-2.0,1.0,NOR,Europe
187,Italy,2023-04-08,13.7,7.8,10.4,ITA,Europe
188,Norway,2023-07-24,16.9,9.9,13.3,NOR,Europe
189,Ireland,2022-12-09,3.1,-0.8,0.9,IRL,Europe
190,Austria,2023-04-07,10.1,2.1,6.3,AUT,Europe
191,Slovenia,2023-08-31,21.3,10.3,15.1,SVN,Europe
192,Austria,2023-02-28,7.5,-0.3,3.1,AUT,Europe
193,North Macedonia,2023-01-31,4.7,-1.9,1.7,MKD,Europe
194,Germany,2023-07-01,24.1,15.8,19.4,DEU,Europe
195,Norway,2023-06-25,24.5,12.4,19.0,NOR,Europe
196,Austria,2023-03-24,20.4,11.7,15.3,AUT,Europe
197,Czechia,2022-10-09,15.6,6.6,10.4,CZE,Europe
198,Romania,2023-08-28,37.4,22.2,29.4,ROU,Europe
199,Latvia,2023-09-10,23.3,13.7,18.0,LVA,Europe
200,Croatia,2022-11-21,8.4,3.3,5.5,HRV,Europe
201,Norway,2022-11-16,3.0,-7.4,-0.6,NOR,Europe
202,Romania,2022-12-03,5.8,3.2,4.4,ROU,Europe
203,Greece,2023-04-24,22.9,13.1,17.0,GRC,Europe
204,Luxembourg,2023-09-11,29.9,16.7,22.7,LUX,Europe
205,Norway,2023-03-06,-19.1,-23.9,-21.8,NOR,Europe
206,Czechia,2023-03-10,12.1,4.8,7.6,CZE,Europe
207,Finland,2023-01-26,3.5,1.0,2.4,FIN,Europe
208,Italy,2023-02-27,12.9,7.8,9.8,ITA,Europe
209,Poland,2023-06-13,14.2,9.5,12.1,POL,Europe
210,Denmark,2022-09-21,15.3,8.4,12.1,DNK,Europe
211,Croatia,2023-01-14,9.4,2.7,5.5,HRV,Europe
212,Belgium,2023-01-11,10.5,7.4,9.3,BEL,Europe
213,Romania,2022-09-20,20.1,11.5,15.4,ROU,Europe
214,Spain,2022-11-04,17.3,8.4,12.5,ESP,Europe
215,Portugal,2023-09-08,25.5,19.0,21.6,PRT,Europe
216,Greece,2023-05-12,21.8,11.7,16.6,GRC,Europe
217,Belgium,2023-05-28,22.8,9.8,16.4,BEL,Europe
218,Serbia,2022-09-16,27.4,16.0,21.5,SRB,Europe
219,Lithuania,2022-10-19,9.7,3.2,7.5,LTU,Europe
220,Estonia,2023-09-07,18.6,9.9,13.9,EST,Europe
221,Finland,2023-04-28,4.6,3.6,4.1,FIN,Europe
222,Romania,2023-07-28,28.2,15.9,22.4,ROU,Europe
223,Hungary,2023-01-12,6.6,1.6,3.9,HUN,Europe
224,Estonia,2022-10-12,12.0,5.2,8.3,EST,Europe
225,Luxembourg,2022-10-15,16.8,12.9,14.2,LUX,Europe
226,Bosnia and Herzegovina,2023-05-31,17.9,11.8,14.3,BIH,Europe
227,Finland,2023-06-16,17.1,13.5,15.2,FIN,Europe
228,Germany,2023-05-22,26.2,14.6,20.0,DEU,Europe
229,Romania,2023-05-28,24.7,15.0,19.7,ROU,Europe
230,Serbia,2023-01-31,5.1,-0.6,2.3,SRB,Europe
231,Estonia,2023-09-03,18.2,10.6,13.8,EST,Europe
232,Andorra,2022-09-27,12.3,3.0,7.0,AND,Europe
233,Czechia,2023-01-24,1.6,-1.2,0.4,CZE,Europe
234,Ireland,2023-04-06,10.9,5.4,8.2,IRL,Europe
235,Norway,2023-03-15,-21.7,-25.5,-23.6,NOR,Europe
236,Luxembourg,2023-01-23,1.4,-1.2,0.2,LUX,Europe
237,Poland,2023-04-08,10.5,3.6,7.3,POL,Europe
238,Netherlands,2023-01-08,9.3,6.7,7.8,NLD,Europe
239,Denmark,2023-01-29,5.4,2.5,3.9,DNK,Europe
240,France,2023-07-21,25.1,16.2,19.5,FRA,Europe
241,Belgium,2023-01-10,9.1,3.1,5.4,BEL,Europe
242,Romania,2023-03-20,17.7,7.5,12.4,ROU,Europe
243,Belarus,2023-05-26,20.9,12.2,17.1,BLR,Europe
244,Austria,2023-02-14,10.4,1.2,5.0,AUT,Europe
245,Ireland,2023-08-23,17.7,12.4,15.2,IRL,Europe
246,Albania,2023-08-23,36.3,25.1,30.3,ALB,Europe
247,Finland,2022-12-01,4.5,3.8,4.2,FIN,Europe
248,Austria,2023-04-30,16.8,9.7,12.8,AUT,Europe
249,Bulgaria,2023-04-20,14.9,2.1,8.4,BGR,Europe
250,Austria,2022-10-23,18.2,8.9,13.2,AUT,Europe
251,Belgium,2023-07-12,23.1,14.5,18.4,BEL,Europe
252,Kosovo,2022-10-28,19.0,8.7,12.5,,
253,Kosovo,2023-09-06,26.7,12.3,19.5,,
254,Latvia,2023-06-18,21.7,17.4,19.2,LVA,Europe
255,Romania,2022-11-17,12.3,7.1,10.0,ROU,Europe
256,Lithuania,2022-12-08,-0.3,-3.8,-1.4,LTU,Europe
257,Andorra,2023-09-06,24.6,9.9,16.1,AND,Europe
258,Finland,2023-04-16,4.5,2.0,2.9,FIN,Europe
259,Poland,2022-12-28,4.5,0.6,2.6,POL,Europe
260,Finland,2022-12-19,3.8,1.5,2.8,FIN,Europe
261,Estonia,2023-04-27,9.2,3.2,5.7,EST,Europe
262,Netherlands,2023-09-02,20.3,15.1,17.4,NLD,Europe
263,Montenegro,2022-10-26,23.1,13.0,17.9,MNE,Europe
264,Spain,2022-12-04,7.0,2.9,5.4,ESP,Europe
265,Greece,2023-04-06,15.7,8.8,11.9,GRC,Europe
266,Norway,2023-02-12,2.9,-3.1,-0.6,NOR,Europe
267,Greece,2023-05-03,21.6,12.8,17.1,GRC,Europe
268,Bulgaria,2023-09-06,23.4,11.0,17.8,BGR,Europe
269,Netherlands,2023-01-07,10.9,9.2,9.9,NLD,Europe
270,Austria,2023-07-26,23.0,14.7,17.9,AUT,Europe
271,"Moldova, Republic of",2022-12-19,1.6,-4.0,-2.3,MDA,Europe
272,Kosovo,2023-06-28,21.8,12.1,16.8,,
273,Ireland,2023-04-20,12.4,6.2,8.9,IRL,Europe
274,Poland,2023-03-16,7.2,0.7,3.6,POL,Europe
275,Slovenia,2023-01-23,3.3,-1.8,0.7,SVN,Europe
276,Poland,2023-02-20,7.6,0.8,4.1,POL,Europe
277,Ireland,2023-06-22,18.3,13.2,15.8,IRL,Europe
278,Ireland,2023-07-14,16.4,12.3,14.3,IRL,Europe
279,Slovakia,2023-07-25,22.6,17.0,19.1,SVK,Europe
280,Slovenia,2023-06-21,31.9,16.9,24.0,SVN,Europe
281,Portugal,2023-05-05,23.3,13.9,17.9,PRT,Europe
282,Spain,2023-07-28,34.6,20.4,27.9,ESP,Europe
283,Netherlands,2022-09-30,16.2,7.1,11.6,NLD,Europe
284,Poland,2022-10-18,19.3,12.6,15.6,POL,Europe
285,Montenegro,2023-01-08,12.2,5.2,8.0,MNE,Europe
286,Finland,2023-02-24,-0.6,-6.0,-3.2,FIN,Europe
287,Portugal,2023-07-09,28.2,16.9,21.7,PRT,Europe
288,Italy,2023-03-12,19.8,9.8,14.4,ITA,Europe
289,Lithuania,2022-11-13,10.5,4.8,8.5,LTU,Europe
290,Kosovo,2022-10-15,17.1,6.6,11.1,,
291,Montenegro,2023-03-09,10.7,8.1,9.3,MNE,Europe
292,Lithuania,2023-05-05,9.0,1.8,4.7,LTU,Europe
293,Monaco,2023-01-08,13.0,11.4,12.1,MCO,Europe
294,Latvia,2022-10-06,16.6,10.6,13.3,LVA,Europe
295,Germany,2023-01-13,11.1,7.1,9.1,DEU,Europe
296,Andorra,2022-10-23,13.4,4.5,8.0,AND,Europe
297,Austria,2022-09-18,15.0,8.8,11.9,AUT,Europe
298,Montenegro,2023-03-27,12.8,8.9,10.9,MNE,Europe
299,Slovakia,2022-11-10,14.4,6.7,9.6,SVK,Europe
300,Romania,2023-04-10,15.7,7.1,11.4,ROU,Europe
301,Austria,2023-04-25,15.2,7.0,10.3,AUT,Europe
302,Lithuania,2023-09-04,20.9,10.2,15.1,LTU,Europe
303,Finland,2022-11-06,9.4,7.9,8.7,FIN,Europe
304,Germany,2023-01-24,2.9,-1.5,0.2,DEU,Europe
305,Montenegro,2023-01-24,9.6,4.5,6.8,MNE,Europe
306,Bulgaria,2023-06-09,24.3,11.4,17.6,BGR,Europe
307,Poland,2023-03-29,8.6,-1.3,3.5,POL,Europe
308,Ireland,2023-04-23,10.7,5.0,7.9,IRL,Europe
309,Germany,2023-06-10,28.9,15.5,22.3,DEU,Europe
310,Portugal,2023-02-16,18.9,10.3,13.9,PRT,Europe
311,Czechia,2022-09-17,14.6,7.3,10.6,CZE,Europe
312,North Macedonia,2022-12-04,8.4,5.6,7.5,MKD,Europe
313,Bulgaria,2023-04-07,8.2,-3.5,2.6,BGR,Europe
314,Lithuania,2023-03-13,2.0,-4.0,-0.7,LTU,Europe
315,Slovakia,2023-02-05,0.9,-3.1,-1.0,SVK,Europe
316,Albania,2023-01-22,11.7,3.9,6.9,ALB,Europe
317,Slovenia,2023-05-16,12.7,9.5,11.2,SVN,Europe
318,Slovenia,2023-01-01,9.9,6.3,7.6,SVN,Europe
319,Ireland,2023-01-15,5.6,3.3,4.8,IRL,Europe
320,Serbia,2022-12-02,6.4,3.2,4.2,SRB,Europe
321,Czechia,2023-03-20,9.2,5.2,7.5,CZE,Europe
322,Bosnia and Herzegovina,2023-01-10,5.7,-0.1,1.3,BIH,Europe
323,"Moldova, Republic of",2023-08-04,35.6,20.7,27.7,MDA,Europe
324,Bulgaria,2023-03-27,18.2,3.9,9.0,BGR,Europe
325,North Macedonia,2023-08-06,28.0,17.3,22.4,MKD,Europe
326,Hungary,2023-02-07,1.4,-4.0,-1.8,HUN,Europe
327,Bosnia and Herzegovina,2023-03-22,13.6,4.3,8.8,BIH,Europe
328,Lithuania,2023-06-08,25.1,11.0,18.7,LTU,Europe
329,France,2022-11-28,11.4,6.9,9.1,FRA,Europe
330,Norway,2022-12-16,-19.3,-22.5,-21.0,NOR,Europe
331,Denmark,2023-03-12,2.9,-0.3,1.0,DNK,Europe
332,Bulgaria,2023-01-28,1.0,-3.2,-1.4,BGR,Europe
333,Czechia,2023-06-24,24.7,12.9,18.3,CZE,Europe
334,Portugal,2023-04-30,24.3,15.5,19.1,PRT,Europe
335,Lithuania,2023-04-05,4.6,-3.5,0.6,LTU,Europe
336,Kosovo,2023-02-08,-0.9,-6.4,-4.4,,
337,Germany,2022-10-30,20.3,13.4,15.9,DEU,Europe
338,France,2022-10-27,24.0,15.8,19.5,FRA,Europe
339,Slovenia,2022-10-17,19.1,9.0,13.5,SVN,Europe
340,Latvia,2023-07-03,19.5,13.4,16.1,LVA,Europe
341,Andorra,2023-07-06,18.3,9.4,13.6,AND,Europe
342,Lithuania,2023-04-28,11.1,0.1,5.6,LTU,Europe
343,Lithuania,2023-08-06,31.6,18.6,25.6,LTU,Europe
344,Montenegro,2022-11-22,12.8,6.8,10.2,MNE,Europe
345,Monaco,2022-11-01,18.8,16.5,17.7,MCO,Europe
346,"Moldova, Republic of",2023-05-24,24.5,15.1,19.7,MDA,Europe
347,Monaco,2022-11-16,15.8,14.1,14.9,MCO,Europe
348,Belgium,2022-10-19,17.7,9.7,13.2,BEL,Europe
349,Lithuania,2023-05-02,16.9,5.0,10.2,LTU,Europe
350,Andorra,2022-10-01,16.6,-1.4,7.0,AND,Europe
351,Hungary,2023-02-22,14.7,6.5,9.9,HUN,Europe
352,Romania,2023-09-02,32.4,21.0,26.9,ROU,Europe
353,Portugal,2023-04-13,18.5,9.9,13.7,PRT,Europe
354,Norway,2023-03-13,-4.6,-11.9,-7.9,NOR,Europe
355,Croatia,2022-10-27,20.2,12.2,15.6,HRV,Europe
356,Poland,2022-11-29,2.8,-0.8,0.9,POL,Europe
357,Portugal,2023-01-17,14.6,11.9,13.2,PRT,Europe
358,Estonia,2023-05-12,18.0,6.3,12.4,EST,Europe
359,Bulgaria,2022-12-30,10.4,1.1,4.2,BGR,Europe
360,Bulgaria,2022-12-15,8.1,0.2,3.5,BGR,Europe
361,Croatia,2023-08-16,29.3,18.3,23.7,HRV,Europe
362,Luxembourg,2022-11-04,9.9,5.7,7.6,LUX,Europe
363,Belgium,2023-07-11,29.5,17.2,22.6,BEL,Europe
364,Finland,2023-02-27,1.5,-12.7,-4.5,FIN,Europe
365,Spain,2023-04-29,28.3,16.7,23.0,ESP,Europe
366,Latvia,2022-11-05,7.9,4.0,6.1,LVA,Europe
367,Norway,2023-06-22,24.7,12.3,18.3,NOR,Europe
368,Slovakia,2022-11-19,2.8,-2.5,0.3,SVK,Europe
369,Slovenia,2023-09-06,23.8,9.8,15.8,SVN,Europe
370,Italy,2023-02-21,16.1,6.8,11.0,ITA,Europe
371,Ireland,2023-08-20,20.0,14.0,17.0,IRL,Europe
372,Ireland,2023-03-14,5.5,0.3,2.8,IRL,Europe
373,Estonia,2023-04-11,13.9,3.3,8.2,EST,Europe
374,Belgium,2022-12-26,9.8,2.9,7.1,BEL,Europe
375,Poland,2023-04-05,5.1,-3.1,1.4,POL,Europe
376,North Macedonia,2022-09-25,22.7,9.5,15.8,MKD,Europe
377,Norway,2023-06-01,16.5,6.2,11.2,NOR,Europe
378,Montenegro,2022-11-16,14.4,10.6,12.7,MNE,Europe
379,North Macedonia,2022-11-26,8.3,2.0,4.9,MKD,Europe
380,Denmark,2023-02-23,6.5,2.9,4.8,DNK,Europe
381,Montenegro,2022-11-30,11.4,5.1,7.8,MNE,Europe
382,Slovakia,2023-07-09,32.1,16.4,24.7,SVK,Europe
383,Italy,2022-10-01,22.3,16.8,19.1,ITA,Europe
384,France,2023-01-15,9.1,6.1,7.4,FRA,Europe
385,Estonia,2023-08-21,21.5,14.2,17.0,EST,Europe
386,Slovenia,2022-10-24,19.0,12.6,15.5,SVN,Europe
387,North Macedonia,2023-04-09,9.9,5.2,7.5,MKD,Europe
388,Ireland,2023-04-21,11.4,7.5,8.9,IRL,Europe
389,Finland,2022-09-18,15.0,7.4,10.8,FIN,Europe
390,Bulgaria,2023-02-11,2.7,-6.9,-3.1,BGR,Europe
391,Bosnia and Herzegovina,2022-09-19,15.5,5.2,9.3,BIH,Europe
392,Austria,2022-11-14,12.0,7.5,9.3,AUT,Europe
393,Luxembourg,2023-08-03,17.8,13.5,14.9,LUX,Europe
394,Lithuania,2023-06-10,20.7,10.8,16.0,LTU,Europe
395,Norway,2023-05-28,16.9,6.3,11.5,NOR,Europe
396,Estonia,2023-08-22,19.8,13.8,16.5,EST,Europe
397,Slovenia,2023-08-17,27.4,16.8,21.9,SVN,Europe
398,North Macedonia,2023-08-18,35.7,20.3,27.4,MKD,Europe
399,Germany,2022-11-28,5.9,3.1,4.5,DEU,Europe
400,"Moldova, Republic of",2022-10-26,18.2,12.3,14.7,MDA,Europe
401,Poland,2022-10-14,16.6,8.2,12.2,POL,Europe
402,Poland,2022-10-30,14.8,9.7,12.1,POL,Europe
403,Portugal,2023-08-25,29.7,18.8,23.6,PRT,Europe
404,Luxembourg,2023-04-13,8.7,3.5,5.5,LUX,Europe
405,Andorra,2022-10-14,13.8,8.4,10.2,AND,Europe
